Epoch 0036, AveLoss: nan, BestValMRR 0.6594, BestTestMRR: 0.6432, test_hit@1: 0.5910, test_hit@3: 0.6688, test_hit@10: 0.7414, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0037, AveLoss: nan, BestValMRR 0.6603, BestTestMRR: 0.6481, test_hit@1: 0.5956, test_hit@3: 0.6744, test_hit@10: 0.7462, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0038, AveLoss: nan, BestValMRR 0.6603, BestTestMRR: 0.6481, test_hit@1: 0.5956, test_hit@3: 0.6744, test_hit@10: 0.7462, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0039, AveLoss: nan, BestValMRR 0.6603, BestTestMRR: 0.6481, test_hit@1: 0.5956, test_hit@3: 0.6744, test_hit@10: 0.7462, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0040, AveLoss: nan, BestValMRR 0.6603, BestTestMRR: 0.6481, test_hit@1: 0.5956, test_hit@3: 0.6744, test_hit@10: 0.7462, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0041, AveLoss: nan, BestValMRR 0.6603, BestTestMRR: 0.6481, test_hit@1: 0.5956, test_hit@3: 0.6744, test_hit@10: 0.7462, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0042, AveLoss: nan, BestValMRR 0.6614, BestTestMRR: 0.6549, test_hit@1: 0.6030, test_hit@3: 0.6816, test_hit@10: 0.7537, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0043, AveLoss: nan, BestValMRR 0.6621, BestTestMRR: 0.6540, test_hit@1: 0.6025, test_hit@3: 0.6809, test_hit@10: 0.7483, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0044, AveLoss: nan, BestValMRR 0.6622, BestTestMRR: 0.6552, test_hit@1: 0.6039, test_hit@3: 0.6806, test_hit@10: 0.7527, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0045, AveLoss: nan, BestValMRR 0.6622, BestTestMRR: 0.6552, test_hit@1: 0.6039, test_hit@3: 0.6806, test_hit@10: 0.7527, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0046, AveLoss: nan, BestValMRR 0.6626, BestTestMRR: 0.6596, test_hit@1: 0.6091, test_hit@3: 0.6848, test_hit@10: 0.7543, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0047, AveLoss: nan, BestValMRR 0.6626, BestTestMRR: 0.6596, test_hit@1: 0.6091, test_hit@3: 0.6848, test_hit@10: 0.7543, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0048, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0049, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0050, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0051, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0052, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0053, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0054, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0055, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0056, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0057, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0058, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0059, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0060, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0061, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0062, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0063, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0064, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0065, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0066, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0067, AveLoss: nan, BestValMRR 0.6638, BestTestMRR: 0.6536, test_hit@1: 0.6027, test_hit@3: 0.6789, test_hit@10: 0.7495, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
